LONGITUDE,LATITUDE,BRIGHT_TI4,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_TI5,FRP,DAYNIGHT
12.28875,9.14084,335.4,0.4,0.37,2020-06-07,1230,N,VIIRS,l,1.0NRT,308.6,2.5,D
12.91314,9.47615,336.3,0.41,0.37,2020-06-07,1230,N,VIIRS,l,1.0NRT,307,1.9,D
4.60723,12.13187,339.1,0.43,0.46,2020-06-07,1236,N,VIIRS,n,1.0NRT,301.5,4.2,D
4.60545,12.09698,345,0.43,0.46,2020-06-07,1236,N,VIIRS,n,1.0NRT,300.8,4.1,D
4.81376,12.25014,340.4,0.42,0.45,2020-06-07,1236,N,VIIRS,n,1.0NRT,298.7,5.5,D
4.60725,12.13251,336.9,0.43,0.46,2020-06-07,1236,N,VIIRS,n,1.0NRT,301.7,5.4,D
6.68501,5.54732,302.7,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,280.4,0.6,N
5.33997,12.49536,337.9,0.57,0.43,2020-06-07,1236,N,VIIRS,n,1.0NRT,305.3,5.1,D
6.50484,5.09962,319.6,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,283,1.6,N
6.50875,5.09899,307.4,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,283.3,1.1,N
5.19636,5.53605,316.2,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,276.5,0.7,N
5.09163,5.53897,305.3,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,283,1.5,N
5.88396,5.43346,313.1,0.41,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,281.5,1.3,N
5.07312,5.55905,310.7,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,281.9,1.4,N
13.97824,11.91915,342.1,0.48,0.4,2020-06-07,1230,N,VIIRS,l,1.0NRT,312.7,2.3,D
13.97382,11.91853,339.3,0.48,0.4,2020-06-07,1230,N,VIIRS,l,1.0NRT,310.6,2.3,D
11.7085,11.48778,337.6,0.39,0.37,2020-06-07,1230,N,VIIRS,l,1.0NRT,309,2.4,D
14.09505,11.92791,341.6,0.49,0.4,2020-06-07,1230,N,VIIRS,l,1.0NRT,313.2,6.2,D
13.46767,11.60612,341.7,0.45,0.39,2020-06-07,1230,N,VIIRS,n,1.0NRT,306.9,3.3,D
13.84869,11.75578,342.3,0.47,0.4,2020-06-07,1230,N,VIIRS,l,1.0NRT,312.3,7.3,D
12.72939,11.47284,336.9,0.42,0.38,2020-06-07,1230,N,VIIRS,l,1.0NRT,308.2,3.6,D
13.46819,11.60254,342.4,0.45,0.39,2020-06-07,1230,N,VIIRS,n,1.0NRT,306.9,3.3,D
14.12116,11.54996,341.9,0.48,0.4,2020-06-07,1230,N,VIIRS,n,1.0NRT,311.7,5,D
13.40311,11.49632,337.3,0.45,0.39,2020-06-07,1230,N,VIIRS,l,1.0NRT,310.5,2.6,D
11.16254,10.97382,337,0.39,0.36,2020-06-07,1230,N,VIIRS,n,1.0NRT,306.9,1.5,D
11.00952,11.00497,335.9,0.39,0.36,2020-06-07,1230,N,VIIRS,l,1.0NRT,306.2,1.3,D
