==============================================================================
==============================================================================
Wed. Jun. 18 2014                  LANDSAT 5                       Time: 07:31
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101406179892_00092                          Path / Row - 224 / 63
Reference Image: L51CUB1011210130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630945   -3.72714    -49.85392    -0.06     -0.10     0.12     1 
2240630946   -3.72711    -49.82583    -0.00     -0.12     0.12     1 
2240630947   -3.72707    -49.79774     0.15      0.06     0.16     1 
2240630948   -3.72703    -49.76965    -0.03      0.09     0.09     1 
2240630950   -3.72695    -49.71347    -0.22     -0.13     0.25     1 
2240630951   -3.72691    -49.68538    -0.17      0.18     0.25     1 
2240630953   -3.72682    -49.62920     0.11      0.21     0.24     1 
2240630957   -3.72664    -49.51684     0.39      0.14     0.41     1 
2240630958   -3.72659    -49.48875    -0.06      0.31     0.32     1 
2240630960   -3.72649    -49.43258     0.14      0.36     0.39     1 
2240630962   -3.72639    -49.37641    -0.04      0.09     0.09     1 
2240630968   -3.72606    -49.20790    -0.07     -0.08     0.11     1 
2240630970   -3.72595    -49.15173    -0.10     -0.02     0.10     1 
2240630987   -3.75284    -50.78107     0.15     -0.17     0.23     1 
2240630988   -3.75283    -50.75297     0.02     -0.08     0.08     1 
2240630989   -3.75282    -50.72487     0.19     -0.05     0.20     1 
2240630991   -3.75280    -50.66867    -0.19     -0.01     0.19     1 
2240630992   -3.75279    -50.64058    -0.07     -0.26     0.27     1 
2240630993   -3.75278    -50.61248    -0.11     -0.13     0.17     1 
2240630994   -3.75276    -50.58438    -0.12     -0.16     0.20     1 
2240630995   -3.75275    -50.55628    -0.02     -0.02     0.03     1 
2240630996   -3.75273    -50.52819    -0.06     -0.05     0.08     1 
2240630997   -3.75272    -50.50009    -0.05     -0.16     0.17     1 
2240630998   -3.75270    -50.47199    -0.07     -0.09     0.11     1 
2240630999   -3.75269    -50.44389    -0.17     -0.11     0.21     1 
2240631000   -3.75267    -50.41580    -0.11     -0.41     0.42     1 
2240631003   -3.75261    -50.33150    -0.11      0.02     0.11     1 
2240631004   -3.75258    -50.30341    -0.10      0.11     0.15     1 
2240631007   -3.75251    -50.21912    -0.24      0.04     0.24     1 
2240631012   -3.75237    -50.07864    -0.07      0.11     0.13     1 
2240631014   -3.75231    -50.02245     0.01      0.02     0.02     1 
2240631015   -3.75228    -49.99436     0.03     -0.20     0.20     1 
2240631018   -3.75218    -49.91008     0.01     -0.12     0.12     1 
2240631019   -3.75215    -49.88199     0.03     -0.08     0.08     1 
2240631020   -3.75211    -49.85389     0.03     -0.01     0.03     1 
2240631021   -3.75207    -49.82580     0.02     -0.02     0.03     1 
2240631022   -3.75203    -49.79771     0.10      0.05     0.11     1 
2240631023   -3.75199    -49.76962    -0.07      0.04     0.08     1 
2240631025   -3.75191    -49.71343    -0.22      0.22     0.31     1 
2240631026   -3.75187    -49.68534    -0.37     -0.09     0.38     1 
2240631028   -3.75178    -49.62916    -0.03     -0.10     0.10     1 
2240631029   -3.75174    -49.60107     0.10      0.03     0.11     1 
2240631030   -3.75169    -49.57298     0.14      0.09     0.16     1 
2240631031   -3.75165    -49.54489    -0.12      0.01     0.12     1 
2240631032   -3.75160    -49.51680     0.03     -0.01     0.03     1 
2240631033   -3.75155    -49.48871    -0.22     -0.08     0.24     1 
2240631036   -3.75140    -49.40445     0.02     -0.10     0.10     1 
2240631037   -3.75135    -49.37636    -0.18      0.20     0.27     1 
2240631041   -3.75113    -49.26402     0.07     -0.09     0.12     1 
2240631044   -3.75096    -49.17976    -0.14      0.06     0.15     1 
2240631062   -3.77780    -50.78106     0.06      0.03     0.06     1 
2240631063   -3.77780    -50.75296    -0.14     -0.36     0.39     1 
2240631065   -3.77778    -50.69676    -0.00     -0.15     0.15     1 
2240631066   -3.77777    -50.66866    -0.18     -0.22     0.28     1 
