Journey Duration,Journey ID,End Date,End Month,End Year,End Hour,End Minute,End Station ID,Start Date,Start Month,Start Year,Start Hour,Start Minute,Start Station ID
780,12088,14,9,17,19,30,57,14,9,17,19,17,327
900,5691,17,9,17,8,29,328,17,9,17,8,14,57
780,6567,15,9,17,19,34,57,15,9,17,19,21,327
540,12794,19,9,17,7,15,3,19,9,17,7,6,70
600,5639,18,9,17,7,48,3,18,9,17,7,38,70
600,13523,19,9,17,17,25,593,19,9,17,17,15,3
720,13018,18,9,17,16,44,593,18,9,17,16,32,3
600,8491,15,9,17,8,39,3,15,9,17,8,29,70
600,4218,15,9,17,17,19,593,15,9,17,17,9,3
840,2376,19,9,17,12,31,303,19,9,17,12,17,379
1020,4768,19,9,17,14,25,379,19,9,17,14,8,191
360,8867,14,9,17,13,45,114,14,9,17,13,39,247
420,2738,14,9,17,13,45,114,14,9,17,13,38,247
660,14698,16,9,17,10,20,14,16,9,17,10,9,71
1740,12533,17,9,17,19,13,405,17,9,17,18,44,194
480,8011,16,9,17,18,39,764,16,9,17,18,31,701
660,542,18,9,17,9,7,173,18,9,17,8,56,190
1080,1767,16,9,17,20,24,755,16,9,17,20,6,684
1200,3022,19,9,17,19,37,146,19,9,17,19,17,345
300,1724,16,9,17,15,40,190,16,9,17,15,35,177
840,13728,13,9,17,9,6,173,13,9,17,8,52,190
600,6252,15,9,17,20,22,190,15,9,17,20,12,336
780,4155,18,9,17,19,23,294,18,9,17,19,10,325
300,8774,13,9,17,23,5,190,13,9,17,23,0,161
240,5602,16,9,17,13,13,826,16,9,17,13,9,243
1020,3511,16,9,17,18,6,658,16,9,17,17,49,190
180,1396,14,9,17,13,53,173,14,9,17,13,50,284
600,8282,14,9,17,9,5,173,14,9,17,8,55,267
1440,13820,19,9,17,18,59,658,19,9,17,18,35,173
300,3110,14,9,17,22,21,177,14,9,17,22,16,190
660,12916,17,9,17,17,25,762,17,9,17,17,14,190
540,3292,13,9,17,18,17,190,13,9,17,18,8,564
600,13669,17,9,17,19,40,190,17,9,17,19,30,228
600,9825,19,9,17,9,4,173,19,9,17,8,54,190
180,8774,13,9,17,22,3,161,13,9,17,22,0,826
660,10906,15,9,17,9,13,173,15,9,17,9,2,190
660,13019,14,9,17,19,14,267,14,9,17,19,3,374
600,10722,16,9,17,20,46,190,16,9,17,20,36,250
240,8210,13,9,17,21,2,360,13,9,17,20,58,190
420,6496,19,9,17,15,14,69,19,9,17,15,7,244
900,9218,19,9,17,13,13,270,19,9,17,12,58,386
360,9944,19,9,17,7,35,244,19,9,17,7,29,214
360,7915,15,9,17,8,21,599,15,9,17,8,15,720
360,10785,14,9,17,0,33,132,14,9,17,0,27,202
540,2314,14,9,17,14,43,194,14,9,17,14,34,202
360,13920,18,9,17,22,52,202,18,9,17,22,46,132
780,13920,18,9,17,18,5,503,18,9,17,17,52,237
300,11849,14,9,17,1,40,202,14,9,17,1,35,132
660,8030,14,9,17,15,32,202,14,9,17,15,21,194
780,14047,15,9,17,1,31,202,15,9,17,1,18,73
660,13920,18,9,17,21,23,132,18,9,17,21,12,503
3180,14907,15,9,17,16,41,169,15,9,17,15,48,233
1800,4366,18,9,17,13,11,233,18,9,17,12,41,169
1860,10106,13,9,17,19,24,169,13,9,17,18,53,233
1080,8062,15,9,17,20,0,541,15,9,17,19,42,169
1080,5955,18,9,17,19,45,303,18,9,17,19,27,233
1860,8413,13,9,17,17,5,233,13,9,17,16,34,169
1680,5037,19,9,17,10,15,233,19,9,17,9,47,303
660,940,19,9,17,17,4,288,19,9,17,16,53,226
960,4199,19,9,17,14,28,83,19,9,17,14,12,309
1080,11172,19,9,17,11,2,309,19,9,17,10,44,288
480,10704,19,9,17,10,28,571,19,9,17,10,20,742
1200,7742,19,9,17,23,58,396,19,9,17,23,38,396
360,13950,17,9,17,19,58,298,17,9,17,19,52,9
360,13950,17,9,17,22,5,10,17,9,17,21,59,298
420,14413,15,9,17,18,50,552,15,9,17,18,43,104
240,1994,18,9,17,13,28,200,18,9,17,13,24,104
360,7045,13,9,17,19,56,552,13,9,17,19,50,104
1080,337,15,9,17,14,14,104,15,9,17,13,56,489
360,2380,18,9,17,18,53,552,18,9,17,18,47,104
420,6265,19,9,17,17,17,552,19,9,17,17,10,104
300,10279,18,9,17,14,5,104,18,9,17,14,0,200
360,337,15,9,17,13,28,489,15,9,17,13,22,104
480,15005,14,9,17,16,59,465,14,9,17,16,51,3
840,8413,18,9,17,8,23,298,18,9,17,8,9,322
540,14554,13,9,17,17,37,40,13,9,17,17,28,298
1020,5308,14,9,17,18,12,40,14,9,17,17,55,298
780,7194,15,9,17,8,25,298,15,9,17,8,12,322
780,14808,19,9,17,8,38,298,19,9,17,8,25,322
780,8581,14,9,17,8,43,298,14,9,17,8,30,322
540,12950,18,9,17,18,42,40,18,9,17,18,33,818
840,2862,13,9,17,8,1,298,13,9,17,7,47,322
540,1907,15,9,17,18,30,40,15,9,17,18,21,818
720,13048,19,9,17,18,33,251,19,9,17,18,21,458
600,2296,13,9,17,18,31,251,13,9,17,18,21,458
780,3717,13,9,17,13,36,458,13,9,17,13,23,101
600,9864,18,9,17,9,7,458,18,9,17,8,57,251
600,3717,19,9,17,15,17,458,19,9,17,15,7,101
300,10676,16,9,17,2,34,510,16,9,17,2,29,542
300,7942,17,9,17,2,16,510,17,9,17,2,11,542
360,1310,16,9,17,4,16,542,16,9,17,4,10,510
1620,7038,16,9,17,13,5,303,16,9,17,12,38,622
300,1695,15,9,17,21,18,742,15,9,17,21,13,622
300,10480,14,9,17,19,42,742,14,9,17,19,37,622
300,11698,14,9,17,8,36,622,14,9,17,8,31,742
900,14897,13,9,17,18,32,564,13,9,17,18,17,16
1620,13658,13,9,17,1,49,93,13,9,17,1,22,338
780,6957,19,9,17,7,33,556,19,9,17,7,20,492
1080,5216,19,9,17,19,6,522,19,9,17,18,48,556
1920,11857,19,9,17,9,20,680,19,9,17,8,48,667
1320,3278,19,9,17,20,12,667,19,9,17,19,50,731
900,9654,15,9,17,8,31,129,15,9,17,8,16,404
1140,10514,13,9,17,8,41,260,13,9,17,8,22,404
